#  California June-August Average Temperature
# Units: Degrees Fahrenheit
# Base Period: 1991-2020
# Missing: -99
Date,Value,Anomaly
199408,74.4,0.5
199508,71.8,-2.1
199608,75.1,1.2
199708,72.4,-1.5
199808,72.8,-1.1
199908,71.2,-2.7
200008,73.6,-0.3
200108,73.9,0.0
200208,74.3,0.4
200308,75.0,1.1
200408,73.8,-0.1
200508,73.5,-0.4
200608,75.4,1.5
200708,74.5,0.6
200808,74.7,0.8
200908,73.3,-0.6
201008,72.9,-1.0
201108,72.1,-1.8
201208,73.9,0.0
201308,74.9,1.0
201408,75.1,1.2
201508,75.3,1.4
201608,75.5,1.6
201708,76.5,2.6
201808,75.8,1.9
201908,74.5,0.6
202008,75.3,1.4
202108,77.2,3.3
202208,76.0,2.1
202308,73.9,0.0
202408,77.3,3.4
