#  New York (Central Park), New York November Average Temperature
# Units: Degrees Fahrenheit
# Base Period: 1991-2020
# Missing: -99
Date,Value,Anomaly
199411,51.5,3.4
199511,44.1,-4.0
199611,43.4,-4.7
199711,44.9,-3.2
199811,48.6,0.5
199911,51.2,3.1
200011,45.7,-2.4
200111,53.2,5.1
200211,46.5,-1.6
200311,50.5,2.4
200411,48.6,0.5
200511,50.1,2.0
200611,52.4,4.3
200711,45.9,-2.2
200811,46.3,-1.8
200911,51.6,3.5
201011,48.4,0.3
201111,52.4,4.3
201211,44.3,-3.8
201311,45.3,-2.8
201411,45.3,-2.8
201511,52.8,4.7
201611,49.8,1.7
201711,46.7,-1.4
201811,44.4,-3.7
201911,43.9,-4.2
202011,53.0,4.9
202111,46.3,-1.8
202211,50.9,2.8
202311,46.7,-1.4
202411,51.4,3.3
